{'_': {'10': [['52', '76', '0.729352'],
              ['51', '76', '0.607442'],
              ['53', '119', '0.452704'],
              ['81', '106', '0.421142'],
              ['83', '126', '0.408925'],
              ['11', '38', '0.408173'],
              ['51', '77', '0.364707'],
              ['74', '119', '0.343059'],
              ['58', '125', '0.341184'],
              ['95', '124', '0.339544']],
       'FL': [['52', '76', '0.729352'],
              ['51', '76', '0.607442'],
              ['53', '119', '0.452704'],
              ['81', '106', '0.421142'],
              ['83', '126', '0.408925'],
              ['11', '38', '0.408173'],
              ['51', '77', '0.364707'],
              ['74', '119', '0.343059'],
              ['58', '125', '0.341184'],
              ['95', '124', '0.339544'],
              ['53', '117', '0.338672'],
              ['52', '77', '0.336959'],
              ['56', '85', '0.322624'],
              ['13', '38', '0.314026'],
              ['56', '83', '0.299377'],
              ['19', '125', '0.298595'],
              ['74', '117', '0.296768'],
              ['57', '82', '0.285746'],
              ['55', '119', '0.285714'],
              ['28', '87', '0.280739'],
              ['85', '124', '0.280283'],
              ['79', '110', '0.276209'],
              ['83', '120', '0.275612'],
              ['92', '124', '0.266796'],
              ['57', '124', '0.266201'],
              ['31', '86', '0.258307'],
              ['55', '126', '0.255871'],
              ['20', '118', '0.252995'],
              ['18', '84', '0.248981'],
              ['81', '120', '0.247234'],
              ['55', '120', '0.245383'],
              ['81', '109', '0.245213'],
              ['35', '86', '0.242982'],
              ['55', '124', '0.239618'],
              ['19', '85', '0.239164'],
              ['85', '126', '0.238857'],
              ['46', '74', '0.237943'],
              ['96', '124', '0.237822'],
              ['84', '126', '0.236742'],
              ['56', '84', '0.23601'],
              ['20', '124', '0.23512'],
              ['53', '86', '0.233732'],
              ['81', '117', '0.233705'],
              ['99', '124', '0.233547'],
              ['15', '82', '0.233207'],
              ['56', '125', '0.231102'],
              ['46', '129', '0.229623'],
              ['52', '89', '0.228579'],
              ['83', '109', '0.228182'],
              ['52', '92', '0.226895'],
              ['16', '82', '0.226636'],
              ['74', '106', '0.22526'],
              ['54', '85', '0.221553'],
              ['32', '86', '0.218071'],
              ['10', '34', '0.217165'],
              ['85', '120', '0.216441'],
              ['23', '89', '0.216112'],
              ['54', '92', '0.215955'],
              ['81', '128', '0.215282'],
              ['21', '123', '0.213684'],
              ['52', '111', '0.212856'],
              ['55', '84', '0.212258'],
              ['50', '77', '0.210794'],
              ['18', '55', '0.210611'],
              ['10', '38', '0.20991'],
              ['51', '88', '0.209634'],
              ['80', '129', '0.20889'],
              ['54', '127', '0.208732'],
              ['51', '89', '0.208465'],
              ['53', '126', '0.206487'],
              ['82', '128', '0.205951'],
              ['83', '125', '0.2057'],
              ['53', '84', '0.205407'],
              ['20', '85', '0.20466'],
              ['51', '87', '0.204147'],
              ['35', '84', '0.203134'],
              ['55', '125', '0.20279'],
              ['16', '128', '0.202077'],
              ['31', '85', '0.201645'],
              ['83', '124', '0.201211'],
              ['48', '114', '0.1966'],
              ['62', '91', '0.196472'],
              ['21', '125', '0.194984'],
              ['79', '129', '0.194661'],
              ['86', '124', '0.19373'],
              ['17', '128', '0.193029'],
              ['52', '115', '0.19255'],
              ['50', '89', '0.192093'],
              ['54', '109', '0.19093'],
              ['96', '120', '0.190811'],
              ['38', '84', '0.190803'],
              ['81', '129', '0.19031'],
              ['19', '126', '0.190074'],
              ['79', '107', '0.187544'],
              ['83', '110', '0.187136'],
              ['31', '87', '0.185608'],
              ['57', '120', '0.184753'],
              ['19', '92', '0.183353'],
              ['53', '120', '0.182124'],
              ['35', '85', '0.181536'],
              ['52', '87', '0.180583'],
              ['32', '87', '0.18037'],
              ['57', '125', '0.179989'],
              ['57', '81', '0.179388'],
              ['80', '108', '0.179096'],
              ['50', '88', '0.178737'],
              ['82', '127', '0.178447'],
              ['19', '84', '0.178198'],
              ['57', '95', '0.177888'],
              ['15', '45', '0.177838'],
              ['52', '112', '0.176678'],
              ['19', '123', '0.175938'],
              ['85', '121', '0.175625'],
              ['86', '123', '0.175538'],
              ['39', '125', '0.175526'],
              ['81', '105', '0.174864'],
              ['54', '96', '0.173657'],
              ['20', '86', '0.173487'],
              ['11', '84', '0.173085'],
              ['79', '105', '0.172881'],
              ['17', '83', '0.172865'],
              ['19', '124', '0.172147'],
              ['55', '109', '0.171164'],
              ['84', '124', '0.170555'],
              ['54', '95', '0.170058'],
              ['18', '54', '0.169176'],
              ['55', '82', '0.167566'],
              ['19', '58', '0.167332'],
              ['74', '116', '0.166302'],
              ['99', '126', '0.166071'],
              ['95', '123', '0.165869'],
              ['79', '103', '0.165481'],
              ['55', '127', '0.164879'],
              ['74', '109', '0.164622'],
              ['39', '84', '0.163964'],
              ['22', '123', '0.163825'],
              ['52', '86', '0.163825'],
              ['82', '109', '0.163744'],
              ['54', '84', '0.16216'],
              ['19', '86', '0.1619'],
              ['79', '106', '0.161878'],
              ['91', '123', '0.161724'],
              ['17', '127', '0.161481'],
              ['53', '85', '0.161262'],
              ['56', '124', '0.160782'],
              ['56', '95', '0.16024'],
              ['18', '85', '0.159157'],
              ['17', '84', '0.158935'],
              ['52', '113', '0.158023'],
              ['81', '107', '0.157253'],
              ['18', '126', '0.157071'],
              ['56', '82', '0.156599'],
              ['81', '119', '0.155931'],
              ['52', '88', '0.150631'],
              ['98', '124', '0.149271'],
              ['79', '130', '0.149126'],
              ['49', '88', '0.148694'],
              ['54', '86', '0.147548'],
              ['56', '127', '0.147292'],
              ['62', '87', '0.147166'],
              ['51', '86', '0.145416'],
              ['18', '120', '0.14525'],
              ['84', '119', '0.144646'],
              ['84', '125', '0.143781'],
              ['74', '110', '0.141951'],
              ['55', '83', '0.141915'],
              ['93', '120', '0.141781'],
              ['76', '119', '0.140669'],
              ['53', '116', '0.140657'],
              ['53', '87', '0.139739'],
              ['83', '119', '0.139195'],
              ['99', '127', '0.13911'],
              ['84', '120', '0.139109'],
              ['55', '106', '0.138035'],
              ['51', '75', '0.13673'],
              ['52', '116', '0.134633'],
              ['18', '127', '0.134633'],
              ['16', '130', '0.134499'],
              ['58', '107', '0.131965'],
              ['36', '126', '0.131965'],
              ['81', '125', '0.131309'],
              ['55', '110', '0.130079'],
              ['50', '76', '0.129914'],
              ['50', '130', '0.129875'],
              ['16', '84', '0.129109'],
              ['35', '126', '0.128759'],
              ['8', '76', '0.127968'],
              ['53', '112', '0.127904'],
              ['18', '86', '0.127597'],
              ['80', '130', '0.127597'],
              ['51', '78', '0.127597'],
              ['92', '120', '0.127077'],
              ['87', '121', '0.127077'],
              ['29', '128', '0.126947'],
              ['95', '122', '0.126679'],
              ['9', '45', '0.126679'],
              ['22', '124', '0.126679'],
              ['20', '125', '0.126679'],
              ['8', '112', '0.126351'],
              ['21', '56', '0.126351'],
              ['55', '107', '0.126157'],
              ['48', '113', '0.126157'],
              ['21', '124', '0.12533'],
              ['85', '122', '0.125106'],
              ['28', '77', '0.125034'],
              ['96', '123', '0.124729'],
              ['32', '115', '0.124489'],
              ['57', '107', '0.124397'],
              ['29', '129', '0.123253'],
              ['53', '109', '0.122693'],
              ['18', '121', '0.122678'],
              ['36', '125', '0.122657'],
              ['85', '125', '0.122606'],
              ['23', '127', '0.122565'],
              ['21', '118', '0.121651'],
              ['91', '124', '0.121638'],
              ['35', '116', '0.121448'],
              ['59', '106', '0.121105'],
              ['32', '128', '0.120871'],
              ['32', '126', '0.120219'],
              ['47', '129', '0.120076'],
              ['35', '119', '0.119957'],
              ['84', '117', '0.119737'],
              ['24', '127', '0.119266'],
              ['16', '105', '0.119081'],
              ['11', '60', '0.119041'],
              ['57', '108', '0.118392'],
              ['39', '124', '0.118328'],
              ['24', '132', '0.118321'],
              ['58', '106', '0.118277'],
              ['4', '104', '0.117894'],
              ['61', '91', '0.117736'],
              ['11', '115', '0.117372'],
              ['29', '130', '0.117259'],
              ['45', '129', '0.117238'],
              ['102', '127', '0.1165'],
              ['20', '122', '0.116373'],
              ['15', '129', '0.114511'],
              ['96', '126', '0.114229'],
              ['82', '112', '0.114108'],
              ['82', '126', '0.114051'],
              ['39', '98', '0.11342'],
              ['22', '60', '0.113346'],
              ['47', '113', '0.113026'],
              ['59', '99', '0.112836'],
              ['28', '75', '0.112835'],
              ['59', '129', '0.112709'],
              ['30', '85', '0.112663'],
              ['32', '94', '0.112417'],
              ['51', '110', '0.11231'],
              ['83', '127', '0.112083'],
              ['34', '85', '0.111994'],
              ['26', '129', '0.111884'],
              ['47', '112', '0.111597'],
              ['55', '102', '0.111589'],
              ['23', '130', '0.111441'],
              ['31', '114', '0.111331'],
              ['23', '126', '0.1111'],
              ['39', '127', '0.110962'],
              ['15', '55', '0.11095'],
              ['36', '94', '0.110664'],
              ['32', '60', '0.110613'],
              ['49', '89', '0.110556'],
              ['17', '130', '0.110385'],
              ['81', '108', '0.110283'],
              ['19', '57', '0.11005'],
              ['80', '117', '0.110026'],
              ['19', '119', '0.109881'],
              ['8', '78', '0.109277'],
              ['53', '111', '0.109241'],
              ['54', '111', '0.109211'],
              ['28', '114', '0.109129'],
              ['89', '123', '0.108747'],
              ['58', '104', '0.10866'],
              ['87', '122', '0.108568'],
              ['11', '74', '0.108564'],
              ['12', '37', '0.108514'],
              ['61', '94', '0.108154'],
              ['48', '89', '0.107724'],
              ['52', '120', '0.10769'],
              ['47', '75', '0.107581'],
              ['100', '127', '0.107199'],
              ['96', '127', '0.107184'],
              ['39', '126', '0.107023'],
              ['61', '90', '0.107004'],
              ['32', '90', '0.106789'],
              ['91', '122', '0.106434'],
              ['4', '57', '0.106375'],
              ['53', '106', '0.106171'],
              ['49', '128', '0.106107'],
              ['21', '119', '0.105771'],
              ['4', '34', '0.105689'],
              ['28', '129', '0.105677'],
              ['49', '126', '0.105646'],
              ['84', '123', '0.10557'],
              ['17', '58', '0.105519'],
              ['5', '107', '0.105343'],
              ['8', '111', '0.105024'],
              ['46', '127', '0.104876'],
              ['57', '105', '0.104741'],
              ['19', '53', '0.104596'],
              ['17', '120', '0.104502'],
              ['19', '56', '0.104092'],
              ['62', '88', '0.103923'],
              ['4', '76', '0.103417'],
              ['16', '55', '0.103324'],
              ['86', '121', '0.103312'],
              ['20', '87', '0.103305'],
              ['82', '108', '0.103244'],
              ['34', '74', '0.103104'],
              ['48', '111', '0.102987'],
              ['8', '108', '0.102917'],
              ['29', '75', '0.102687'],
              ['18', '106', '0.102658'],
              ['46', '112', '0.102647'],
              ['4', '55', '0.102646'],
              ['19', '122', '0.102597'],
              ['48', '115', '0.10234'],
              ['86', '118', '0.102269'],
              ['56', '104', '0.102192'],
              ['95', '125', '0.102084'],
              ['21', '122', '0.101913'],
              ['13', '60', '0.101649'],
              ['95', '126', '0.101549'],
              ['82', '117', '0.10125'],
              ['8', '45', '0.101225'],
              ['22', '131', '0.101222'],
              ['19', '121', '0.100793'],
              ['6', '108', '0.100377'],
              ['84', '110', '0.100372'],
              ['31', '115', '0.100283'],
              ['79', '128', '0.100275'],
              ['54', '106', '0.100204'],
              ['56', '109', '0.10015'],
              ['5', '46', '0.100106'],
              ['34', '83', '0.100093'],
              ['95', '121', '0.100035'],
              ['11', '86', '0.09994'],
              ['17', '126', '0.099677'],
              ['18', '102', '0.099534'],
              ['23', '88', '0.099489'],
              ['20', '121', '0.099476'],
              ['45', '99', '0.099346'],
              ['46', '75', '0.099195'],
              ['92', '121', '0.099131'],
              ['60', '92', '0.099048'],
              ['23', '59', '0.099036'],
              ['32', '91', '0.099009'],
              ['89', '124', '0.098935'],
              ['17', '125', '0.09869'],
              ['4', '46', '0.098474'],
              ['21', '117', '0.098469'],
              ['4', '74', '0.098354'],
              ['58', '83', '0.098344'],
              ['82', '110', '0.098339'],
              ['82', '125', '0.098334'],
              ['56', '106', '0.098287'],
              ['74', '120', '0.098214'],
              ['56', '99', '0.098214'],
              ['7', '45', '0.09813'],
              ['49', '107', '0.098049'],
              ['18', '56', '0.098037'],
              ['5', '45', '0.097943'],
              ['32', '127', '0.097759'],
              ['28', '88', '0.097687'],
              ['99', '123', '0.097588'],
              ['93', '124', '0.097539'],
              ['49', '113', '0.097525'],
              ['54', '108', '0.097432'],
              ['48', '112', '0.0966'],
              ['55', '117', '0.096527'],
              ['52', '81', '0.096365'],
              ['34', '75', '0.096313'],
              ['18', '82', '0.096087'],
              ['84', '118', '0.095857'],
              ['80', '112', '0.09547'],
              ['47', '122', '0.095404'],
              ['7', '78', '0.095218'],
              ['82', '106', '0.095055'],
              ['46', '120', '0.094968'],
              ['51', '111', '0.094721'],
              ['17', '85', '0.094667'],
              ['32', '58', '0.094617'],
              ['79', '111', '0.094389'],
              ['15', '75', '0.094308'],
              ['36', '98', '0.094305'],
              ['54', '110', '0.094287'],
              ['28', '90', '0.093915'],
